service_id,date,exception_type
10-1-127,20220321,2
10-1-127,20220322,2
10-1-127,20220323,2
10-1-127,20220324,2
10-1-127,20220325,2
10-1-127,20220327,2
10-1-127,20220328,2
10-1-127,20220329,2
10-1-127,20220330,2
10-1-127,20220331,2
10-1-127,20220401,2
10-1-127,20220403,2
10-1-127,20220404,2
10-1-127,20220405,2
10-1-127,20220406,2
10-1-127,20220407,2
10-1-127,20220408,2
10-1-127,20220410,2
10-1-127,20220411,2
10-1-127,20220412,2
10-1-127,20220413,2
10-1-127,20220414,2
10-1-127,20220415,2
10-1-127,20220417,2
10-1-127,20220418,2
10-1-127,20220419,2
10-1-127,20220420,2
10-1-127,20220421,2
10-1-127,20220422,2
10-1-127,20220424,2
10-1-127,20220425,2
10-1-127,20220426,2
10-1-127,20220427,2
10-1-127,20220428,2
10-1-127,20220429,2
10-1-127,20220501,2
10-1-127,20220502,2
10-1-127,20220503,2
10-1-127,20220504,2
10-1-127,20220505,2
10-1-127,20220506,2
10-1-127,20220508,2
10-1-127,20220509,2
10-1-127,20220510,2
10-1-127,20220511,2
10-1-127,20220512,2
10-1-127,20220513,2
10-1-127,20220515,2
10-1-127,20220516,2
10-1-127,20220517,2
10-1-127,20220518,2
10-1-127,20220519,2
10-1-127,20220520,2
10-1-127,20220522,2
10-1-127,20220523,2
10-1-127,20220524,2
10-1-127,20220525,2
10-1-127,20220526,2
10-1-127,20220527,2
10-1-127,20220529,2
10-1-127,20220530,2
10-1-127,20220531,2
10-1-127,20220601,2
10-1-127,20220602,2
10-1-127,20220603,2
10-1-127,20220605,2
10-1-127,20220606,2
10-1-127,20220607,2
10-1-127,20220608,2
10-1-127,20220609,2
10-1-127,20220610,2
10-1-127,20220612,2
10-1-127,20220613,2
10-1-127,20220614,2
10-1-127,20220615,2
10-1-127,20220616,2
10-1-127,20220617,2
10-1-127,20220619,2
10-1-127,20220620,2
10-1-127,20220621,2
10-1-127,20220622,2
10-1-127,20220623,2
10-1-127,20220624,2
10-1-127,20220625,2
10-1-127,20220626,2
10-1-127,20220627,2
10-1-127,20220628,2
10-1-127,20220629,2
10-1-127,20220630,2
10-1-127,20220701,2
10-1-127,20220702,2
10-1-127,20220703,2
10-1-127,20220704,2
10-1-127,20220705,2
10-1-127,20220706,2
10-1-127,20220707,2
10-1-127,20220708,2
10-1-127,20220709,2
10-1-127,20220710,2
10-1-127,20220711,2
10-1-127,20220712,2
10-1-127,20220713,2
10-1-127,20220714,2
10-1-127,20220715,2
10-1-127,20220716,2
10-1-127,20220717,2
10-1-127,20220718,2
10-1-127,20220719,2
10-1-127,20220720,2
10-1-127,20220721,2
10-1-127,20220722,2
10-1-127,20220723,2
